Designator,Mid X,Mid Y,Rotation,Layer
C1,185.46,-157.353,180.0,top
C2,219.837,-151.043,90.0,top
C3,219.964,-131.866,90.0,top
C4,252.817,-139.573,0.0,top
J1,221.05,-163.908,0.0,top
RN1,231.648,-120.269,0.0,top
RN2,231.648,-139.446,0.0,top
RN3,231.648,-136.017,0.0,top
SW1,231.902,-126.619,90.0,top
SW2,231.902,-145.796,90.0,top
SW3,244.348,-126.746,0.0,top
SW4,244.348,-145.923,0.0,top
U1,200.66,-126.746,270.0,top
U2,200.66,-145.923,270.0,top
U3,200.66,-126.746,270.0,top
U4,200.66,-145.923,270.0,top
U5,253.492,-146.05,270.0,bottom
